,,,
,Work Package Ref,Service Reference,Work Package
,Work Package J - Security Services,J.5,"111.4.                  The patrolling Schedule shall include, but shall not be limited to the following:"
,Work Package J - Security Services,J.5,"111.4.1. Checking of suspicious activity, packages, persons, identification of hazards, areas unsecured, clear desk policy compliance, malfunctioning or broken lighting, security and searching equipment, barriers, doors and windows; and"
,Work Package J - Security Services,J.5,"111.4.2. Identifying and recording potential health and safety, fire issues and hazards identified in the Buyer Premises."
,Work Package J - Security Services,J.5,"111.5.                  The security staff shall immediately respond and investigate alarm activations at the Buyer Premises and report and record all instances of these events to the Buyer. The Supplier shall indicate the seriousness of the hazard and seek advice from the Buyer on the appropriate remedial action. Where it is appropriate to do so, the Supplier shall take immediate remedial action to reduce risk. The primary objective at all times shall be to ensure the security of each Buyer Premises and the health and safety of its building users."
,Work Package J - Security Services,J.5,111.6.                  The Supplier shall: 
,Work Package J - Security Services,J.5,"111.6.1. Be required to keep records of the Buyer’s Staff in each Buyer Premises during non-operational Working Hours or who arrange to work on non-Working Days such as  Saturdays, Sundays and/or public bank holidays or on any other public or civil Service privilege holidays. This is to ensure the health and safety of the Buyer’s Staff; "
,Work Package J - Security Services,J.5,111.6.2. Maintain a comprehensive list of locations and Assets to be overseen as part of the security Service in accordance with the Buyer’s requirements;
,Work Package J - Security Services,J.5,111.6.3. Provide patrol monitoring systems;
,Work Package J - Security Services,J.5,"111.6.4. Keep a record for each Buyer Premises covered by the security Service. This record shall include the times of inspections, any incidents noted by staff, thefts and any faults to each Buyer Premises requiring further attention by the Supplier.  Problems or faults shall be reported to the helpdesk on identification. The Supplier shall report thefts in accordance with the Buyer’s requirements;"
,Work Package J - Security Services,J.5,111.6.5. Be responsible for delivering security reports to the Buyer in line with the Buyer’s requirements; and
,Work Package J - Security Services,J.5,111.6.6. Collate these reports so that Monthly figures can be provided to the Buyer in a format to be agreed.
,Work Package J - Security Services,,
,Work Package J - Security Services,,112.            Service J:6 - Management of visitors and passes
,Work Package J - Security Services,,
,Work Package J - Security Services,J.6,"112.2.                  In addition, the following Standards Ref apply to this Service SJ6."
,Work Package J - Security Services,J.6,"112.3.                  The Supplier shall ensure that Supplier Staff operating at reception of a Buyer Premises issue all visitor passes. Visitor passes shall only be issued to those visitors with verified appointments within the Buyer Premises or to bona fide staff of the Buyer. It shall be incumbent on the Supplier to ensure that all visitors to the Buyer Premises have a valid reason for gaining access, by checking with the appropriate Buyer Authorised Representative and ensuring that visitors remains at reception until their meeting sponsor arrives."
,Work Package J - Security Services,J.6,"112.4.                  The Supplier shall be responsible for the production of all visitor, staff and Supplier passes, including the development of the new pass design on the instruction of the Buyer. Costs to be reimbursable as detailed in Appendix 3 – Billable Works and Approval Process."
,Work Package J - Security Services,,
,Work Package J - Security Services,,113.            Service J:7 - Reactive guarding
,Work Package J - Security Services,,
,Work Package J - Security Services,J.7,"113.2.                  In addition, the following Standards Ref apply to this Service SJ7."
,Work Package J - Security Services,J.7,113.3.                  The Supplier shall provide a reactive guarding Service to meet the Buyer’s requirements.
,Work Package J - Security Services,J.7,"113.4.                  Where a twenty four (24) hour or other permanent guarding arrangement is in place, the Buyer may request additional ad hoc guarding. This shall be managed as per the Appendix 3 – Billable Works and Approval Process."
,Work Package J - Security Services,J.7,"113.5.                  The Supplier shall take account of the fact that the duration of the required reactive guarding may be undetermined, and shall ensure that the reactive guarding Service is maintained until such time as the Buyer informs the Supplier that the guarding is no longer required, or the Supplier satisfies the Buyer that the Buyer Premises it has been sent to secure no longer requires its presence."
,Work Package J - Security Services,,
,Work Package J - Security Services,,114.            Service J:8 - Additional security Services
,Work Package J - Security Services,,
,Work Package J - Security Services,J.8,"114.2.                  In addition, the following Standards Ref apply to this Service SJ8."
,Work Package J - Security Services,J.8,"114.3.                  The Supplier shall provide additional Services as directed by the Buyer for specific Sites where specific operational circumstances dictate. These shall be agreed and confirmed during Call-Off stage, once identified by the Buyer."
,Work Package J - Security Services,J.8,"114.4.                  The Supplier will provide Specialist Security Officer requirements, to be defined by the Buyer at Call-Off, these will include:"
,Work Package J - Security Services,J.8,114.4.1. Court Security Officers as defined in  Courts Act 2003 Section 1 (1); and
,Work Package J - Security Services,J.8,114.4.2. Prisoner Custody Officers as defined in The Criminal Justice Act 1991
,Work Package J - Security Services,,
,Work Package J - Security Services,,115.            Service J:9 - Enhanced security requirements
,Work Package J - Security Services,,
,Work Package J - Security Services,J.9,"115.2.                  In addition, the following Standards Ref apply to this Service SJ9."
,Work Package J - Security Services,J.9,"115.3.                  The Supplier shall comply with all of the Buyer’s policies and procedures on security and act upon the instructions of Buyer Security Representative, should there be a change in the Response Level associated with the Buyer Premises."
,Work Package J - Security Services,J.9,115.4.                  The Supplier shall ensure that all staff delivering the enhanced security requirements Services shall be conversant with the varying response levels and associated changes in security procedures required by the changes in the response level for the Buyer Premises. The Buyer shall instruct the Supplier which level is in force. The Supplier shall provide security measures appropriate to this level.
,Work Package J - Security Services,J.9,"115.5.                  The Supplier shall be required to implement and enforce all extra security measures that may be required during a major security alert, for example, to follow a strict procedure as designated by the Buyer on receipt of bomb warning calls, or to search baggage and vehicles on arrival."
,Work Package J - Security Services,J.9,"115.6.                  The Buyer shall instruct special security arrangements that may be necessary to protect senior officials or visiting persons. In these cases the Supplier shall co-operate with the police, special branch, diplomatic protection group and any national security Service as directed by the Buyer security Representative. The Supplier shall form part of the overall security arrangements and shall report as appropriate."
,Work Package J - Security Services,J.9,"115.7.                  The Buyer may require the Supplier to provide additional security staff in circumstances including demonstrations, riots or other events which may require Services to be provided in common parts of shared areas. The Supplier shall take into account the requirements for increased manning of lifts at various locations, increased patrols, police liaison and extra perimeter and door security. For these purposes, the Supplier shall be required to maintain a pool of security cleared staff and other back-up arrangements. Wherever possible, at least three (3) Working Days’ notice of such a requirement shall be provided. The Supplier shall provide the additional resources and shall be paid in accordance with Appendix 3 – Billable Works and Approval Process."
,Work Package J - Security Services,J.9,115.8.                  The Supplier may be required to provide extra guards at evenings or weekends to supervise Subcontractors who have insufficient security clearance to work unsupervised.
,Work Package J - Security Services,,
,Work Package J - Security Services,,116.            Service J:10 - Key holding
,Work Package J - Security Services,,
,Work Package J - Security Services,J.10,"116.2.                  In addition, the following Standards Ref apply to this Service SJ10."
,Work Package J - Security Services,J.10,"116.3.                  The Supplier shall provide a professional key holding Service, being the custodian of building access keys and alarm system codes, ensuring compliance with security industry authority and its licensing requirements."
,Work Package J - Security Services,J.10,"116.4.                  In the event of a break-in or attack at a Buyer Premises, the Supplier shall respond, secure and make safe in accordance with the Buyer’s requirements."
,Work Package J - Security Services,J.10,"116.5.                  The Supplier shall be available to respond to situations requiring a key holder on both a planned and unplanned basis, to attend Buyer Premises twenty four (24) hours a day, seven (7) days a week, fifty two (52) weeks a year. These shall include provision of access for the Buyer Authorised Representative, responses to fire alarms, lift alarms and security alarms."
,Work Package J - Security Services,J.10,116.6.                  Supplier Staff shall only issue keys to the Buyer Authorised Representative. Master key usage shall be limited in accordance with the Buyer’s requirements and shall not be removed from the Buyer Premises.
,Work Package J - Security Services,J.10,116.7.                  The Supplier shall provide an effective system to manage and control the issue and retrieval of keys.
,Work Package J - Security Services,,
,Work Package J - Security Services,,117.            Service J:11 - Lock Up / open up of Buyer Premises
,Work Package J - Security Services,,
,Work Package J - Security Services,J.11,"117.2.                  In addition, the following Standards Ref apply to this Service SJ11."
,Work Package J - Security Services,J.11,"117.3.                  On attendance at each Buyer Premises as key holder for the Buyer, the Supplier shall provide assistance to the emergency Services on arrival to ensure the Buyer Premises is fully secured and alarms reset as necessary. The Supplier shall liaise with the helpdesk with reference to any reactive maintenance required in order to secure each Buyer Premises."
,Work Package J - Security Services,,
,Work Package J - Security Services,,118.            Service J:12 - Patrols (mobile via a specific visiting vehicle)
,Work Package J - Security Services,,
,Work Package J - Security Services,J.12,"118.2.                  In addition, the following Standards Ref apply to this Service SJ12."
,Work Package J - Security Services,J.12,118.3.                  The Buyer may require the Supplier to provide an ad hoc mobile security patrol service to vacant and surplus Buyer Premises and on occasion at an occupied Buyer Premises. This additional requirement shall be managed as per Appendix 3 – Billable Works and Approval Process.
,Work Package J - Security Services,J.12,118.4.                  A Mobile Security Patrol Service shall be required to make regular visits to each Buyer Premises and check that the security of the Buyer Premises and its perimeter has not been compromised. 
,Work Package J - Security Services,J.12,"118.5.                  The Supplier shall also be required to provide a defect and incident reporting procedure as part of the Mobile Security Patrol Service in accordance with the Buyer’s requirements. Where requested by the Buyer, the Supplier shall conduct a specific security assessment of each Buyer Premises prior to commencing the mobile security patrol Service."
,Work Package J - Security Services,J.12,118.6.                  The Supplier shall make a copy of the security assessment report available to the Buyer.  
,Work Package J - Security Services,,
,Work Package K - Waste Services,,Work Package K – Waste Services
,Work Package K - Waste Services,,
,Work Package K - Waste Services,,119.            Service K:1 - Classified waste
,Work Package K - Waste Services,,
,Work Package K - Waste Services,K.1,"119.2.                  In addition, the following Standards Ref apply to this Service SK1."
,Work Package K - Waste Services,K.1,119.3.                  The Supplier shall: 
,Work Package K - Waste Services,K.1,119.3.1. Deliver an on-site shredding service at the Buyer Premises on a fortnightly basis;
,Work Package K - Waste Services,K.1,119.3.2. Provide suitable and sufficient standard sized secure consoles at Buyer Premises to enable the secure storage of all Buyer classified waste; 
,Work Package K - Waste Services,K.1,"119.3.3. Ensure the secure collection, storage, removal and disposal of all classified materials so that at no time these materials are out of the Suppliers possession or sight, or capable of being deciphered once securely disposed of;"
,Work Package K - Waste Services,K.1,"119.3.4. Ensure that material classified as OFFICIAL, SECRET and TOP SECRET or as classified by the Buyer is only destroyed by a Centre of Protection of National Infrastructure (CPNI) approved company or on-site using CPNI approved shredders from the CPNI Catalogue of Security Equipment (CSE).  Any bulk on-site shredding requires the operatives to be cleared to Counter Terrorist Check (""CTC"") as a minimum and for the area to be monitored by CCTV. Material classified as OFFICIAL can be destroyed by shredding, burning or pulping. If material has a mix of classifications, the highest classification applies to all the material.  As part of any Audit the Buyer may request to see the operatives’ clearance confirmation;"
,Work Package K - Waste Services,K.1,119.3.5. Provide a classified waste Service in line with the FM Service Standards and Buyer requirements; and
,Work Package K - Waste Services,K.1,119.3.6. Provide a full removal and destruction Service in line with Government disposal Standards. 
,Work Package K - Waste Services,K.1,"119.4.                  Where the Buyer requires that classified material is destroyed off-site, the Supplier shall make all necessary arrangements for this to happen. "
,Work Package K - Waste Services,K.1,119.5.                  Material with a protective marking of ‘SECRET’ or ‘TOP SECRET’ may be destroyed by Buyer Staff prior to its removal and further shredding off-site by the Supplier in accordance with the Buyer’s requirements. 
,Work Package K - Waste Services,K.1,"119.6.                  The Supplier shall be responsible for the provision of all standard sized waste receptacles, e.g. consoles, to ensure the successful delivery of the Service. "
,Work Package K - Waste Services,K.1,119.7.                  The Supplier shall provide a reactive Service for the collection and disposal of all types of classified waste to meet any ad hoc requirements of the Buyer. Costs shall be charged to the Buyer via the Billable Works and Projects Process.
,Work Package K - Waste Services,,
,Work Package K - Waste Services,,120.            Service K:2 - General waste
,Work Package K - Waste Services,,
,Work Package K - Waste Services,K.2,"120.2.                  In addition, the following Standards Ref apply to this Service SK2."
,Work Package K - Waste Services,K.2,"120.3.                  In fulfilment of its statutory duty of care, the Buyer shall require the Supplier to provide full information on the methods of disposal of waste, showing clear evidence of using disposal methods which are environmentally preferable. In particular, the Buyer shall be assured that as much of the waste as possible shall be recycled or used for energy recovery, rather than sent to landfill."
,Work Package K - Waste Services,K.2,120.4.                  The Supplier shall collect and remove all waste from the designated central waste storage point/s on a weekly basis; 
,Work Package K - Waste Services,K.2,"120.5.                  The Supplier shall provide waste receptacles, recycling stations and consumables appropriate to the waste item, in sufficient numbers and conveniently located."
,Work Package K - Waste Services,K.2,120.6.                  The Supplier shall remove all general waste in a manner appropriate to the waste item.
,Work Package K - Waste Services,K.2,120.7.                  In disposing of waste the Supplier shall maintain and proactively manage waste in accordance with the waste hierarchy. 
,Work Package K - Waste Services,K.2,"120.8.                  The Supplier shall provide monthly waste diversion reports of Buyer Premises performance against building waste arising, diversion and recycling benchmarks and the Buyer’s requirements but shall adhere to the required minimum Standards as set out in FM Service Standards."
,Work Package K - Waste Services,K.2,"120.9.                  The Buyer requires the Supplier to demonstrate commitment to and compliance with the principles of sustainable development as documented by the Buyer, and seeks to continuously reduce the Buyer’s deleterious impact on the environment in waste disposal in general. "
,Work Package K - Waste Services,K.2,"120.10.               The Supplier shall provide lead support in planning, measuring, reporting and recommending how waste can be continually reduced across all Buyer Premises and how Government sustainability targets can be achieved."
,Work Package K - Waste Services,K.2,120.11.               The Supplier shall provide a reactive Service for the collection and disposal of all types of general waste to meet any adhoc requirements of the Buyer. Costs shall be charged to the Buyer via Appendix 3 – Billable Works and Approval Process.
,Work Package K - Waste Services,,
,Work Package K - Waste Services,,121.            Service K:3 - Recycled waste
,Work Package K - Waste Services,,
,Work Package K - Waste Services,K.3,"121.2.                  In addition, the following Standards Ref apply to this Service SK3."
,Work Package K - Waste Services,K.3,121.3.                  The Supplier is required to provide a waste management service in accordance with the waste hierarchy.
,Work Package K - Waste Services,K.3,121.4.                  The Supplier shall collect and remove all recyclable waste from the Buyer Premises on a weekly basis; 
,Work Package K - Waste Services,K.3,121.5.                  The Supplier shall seek to increase the percentage and range of Goods that are recycled on a continual basis. The Supplier shall provide the Buyer with information on current levels of recycling and plans to increase these in the Monthly report.
,Work Package K - Waste Services,K.3,121.6.                  The Supplier shall provide a reactive Service for the collection and disposal of all types of recycled waste to meet any adhoc requirements of the Buyer. Costs shall be charged to the Buyer via Appendix 3 – Billable Works and Approval Process.
,Work Package K - Waste Services,,
,Work Package K - Waste Services,,122.            Service K:4 - Hazardous waste
,Work Package K - Waste Services,,
,Work Package K - Waste Services,K.4,"122.2.                  In addition, the following Standards Ref apply to this Service SK4."
,Work Package K - Waste Services,K.4,122.3.                  The Supplier may be required to provide a Service for the disposal of hazardous wastes and provide suitable receptacles for this type of waste in accordance with the Buyer’s requirements. 
,Work Package K - Waste Services,K.4,"122.4.                  The Supplier shall handle, transport, treat and dispose of all hazardous wastes in a manner suitable to their nature and potential to pollute or cause harm. The Supplier shall take into account the Dangerous Goods Regulations on labelling, containment and security for transport. Details of hazardous materials for regular disposal shall be specified at Call-Off stage."
,Work Package K - Waste Services,K.4,122.5.                  The Supplier is responsible for the removal of hazardous materials on an ad hoc basis as and when required by the Buyer and shall be charged to the Buyer Appendix 3 – Billable Works and Approval Process.
,Work Package K - Waste Services,K.4,122.6.                  Where the Buyers hazardous waste includes ordnance and pyrotechnic related waste the Supplier shall ensure that all waste is checked and made safe prior to disposal and shall issue a monthly report on waste volumes disposed of to the Buyer.
,Work Package K - Waste Services,,
,Work Package K - Waste Services,,123.            Service K:5 - Clinical waste
,Work Package K - Waste Services,,
,Work Package K - Waste Services,K.5,"123.2.                  In addition, the following Standards Ref apply to this Service SK5."
,Work Package K - Waste Services,K.5,"123.3.                  The Supplier may be required to provide a Service for the disposal of special or hazardous wastes and shall be required to provide suitable receptacles for this type of waste in accordance with the Buyer’s requirements. This Service may also include the provision of sharps bins, sanitary towel disposal Service and other specialist receptacles."
,Work Package K - Waste Services,K.5,"123.4.                  The Supplier shall handle, transport, treat and dispose of all special or hazardous wastes in a manner suitable to their nature and potential to pollute or cause harm, taking account of the Dangerous Goods Regulations on labelling, containment and security for transport. Details of hazardous materials for regular disposal shall be specified at Call-Off stage."
,Work Package K - Waste Services,K.5,123.5.                  The Supplier is responsible for the removal of clinical waste materials on an ad hoc basis as and when required by the Buyer and shall be charged to the Buyer via Appendix 3 – Billable Works and Approval Process.
,Work Package K - Waste Services,,
,Work Package K - Waste Services,,124.            Service K:6 - Medical waste
,Work Package K - Waste Services,,
,Work Package K - Waste Services,K.6,"124.2.                  In addition, the following Standards Ref apply to this Service SK6."
,Work Package K - Waste Services,K.6,124.3.                  The Supplier may be required to provide a Service for the disposal of medical and pharmaceutical waste and shall be required to provide suitable receptacles for this type of waste in accordance with the Buyer’s requirements. 
,Work Package K - Waste Services,K.6,"124.4.                  The Supplier shall handle, transport, treat and dispose of all medical waste in a manner suitable to their nature and potential to pollute or cause harm, taking account of the Dangerous Goods Regulations on labelling, containment and security for transport. Details of Buyer requirements and type of medical and pharmaceutical waste materials for disposal shall be specified at Call-Off stage."
,Work Package K - Waste Services,K.6,124.5.                  The Supplier is responsible for the removal of medical and pharmaceutical waste on an ad hoc basis as and when required by the Buyer and shall be charged to the Buyer via Appendix 3 – Billable Works and Approval Process.
,Work Package K - Waste Services,,
,Work Package K - Waste Services,,125.            Service K:7 - Feminine hygiene waste
,Work Package K - Waste Services,,
,Work Package K - Waste Services,K.7,"125.2.                  In addition, the following Standards Ref apply to this Service SK7."
,Work Package K - Waste Services,K.7,125.3.                  The Supplier may be required to provide a four-weekly Service for the disposal of feminine hygiene waste and shall be required to provide standard sized and suitable receptacles for this type of waste in accordance with the Buyer’s requirements.
,Work Package K - Waste Services,K.7,"125.4.                  The Supplier shall handle, transport, treat and dispose of all feminine hygiene waste in a manner suitable to their nature and potential to pollute or cause harm, taking account of the Dangerous Goods Regulations on labelling, containment and security for transport. Details of the provision of vending machines for feminine hygiene products if where required by the Buyer shall be specified at Call-Off stage."
,Work Package K - Waste Services,K.7,125.5.                  The Supplier is responsible for the removal of feminine hygiene waste on an ad hoc basis as and when required by the Buyer and shall be charged to the Buyer via Appendix 3 – Billable Works and Approval Process.
,Work Package K - Waste Services,,
,Work Package L - Miscellaneous FM Services,,Work Package L – Miscellaneous FM Services
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,126.            Service L:1 - Childcare facility
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.1,"126.2.                  In addition, the following Standards Ref apply to this Service SL1."
,Work Package L - Miscellaneous FM Services,L.1,126.3.                  The Supplier shall: 
,Work Package L - Miscellaneous FM Services,L.1,126.3.1. Provide a child care nursery service for children aged between three (3) Months and an age suitable for first entry to school. With the express permission of the Local Authority the Supplier may care for children aged between six (6) weeks and three (3) Months;
,Work Package L - Miscellaneous FM Services,L.1,"126.3.2. Accept full responsibility for the health, safety and wellbeing of children from parental drop off to collection.  This extends to any trips or visits off the childcare facility where the parent or guardian is not present; and"
,Work Package L - Miscellaneous FM Services,L.1,126.3.3. Not be expected to provide a Service on bank or public holidays. Specific Government privilege days shall be notified to the Supplier as and when they occur and levels of Service shall be agreed with the Buyer. The Buyer Authorised Representative shall undertake to give the Supplier at least three (3) Working Days’ notice of any short-term changes to these arrangements and one (1) Month of any permanent change.
,Work Package L - Miscellaneous FM Services,L.1,126.4.                  The Supplier must ensure that the different areas of the nursery are appropriately staffed to meet the needs of the relevant age groups and to comply with all Ofsted National Standards.
,Work Package L - Miscellaneous FM Services,L.1,"126.5.                  The Supplier must ensure that all refreshments are prepared on the Buyer Premises, in accordance with Food Hygiene Regulations."
,Work Package L - Miscellaneous FM Services,L.1,126.6.                  The Supplier shall:
,Work Package L - Miscellaneous FM Services,L.1,126.6.1. Undertake to supply information and attain Ofsted registration of the nursery prior to Call-Off Start Date and each year of the Call-Off Contract thereafter;
,Work Package L - Miscellaneous FM Services,L.1,"126.6.2. Ensure that the nursery building, equipment and grounds are kept in good order and liaise with the Buyer Authorised Representative for fault reporting where appropriate;"
,Work Package L - Miscellaneous FM Services,L.1,126.6.3. Keep the Buyer Authorised Representative advised of changes in regulations that may affect the operation of the childcare facility;
,Work Package L - Miscellaneous FM Services,L.1,126.6.4. Develop an effective working relationship with local management and parents during operational Working Hours; and
,Work Package L - Miscellaneous FM Services,L.1,126.6.5. Nominate a contact or liaison person from amongst the nursery staff to resolve and deal with day to day operational matters.
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,127.            Service L:2 - Sports and leisure
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.2,"127.2.                  In addition, the following Standards Ref apply to this Service SL2."
,Work Package L - Miscellaneous FM Services,L.2,127.3.                  The Supplier shall provide the full management of the sports and leisure facilities including the booking of activity rooms and gym equipment and managing payment systems for the users of the facilities at the Buyer Premises. 
,Work Package L - Miscellaneous FM Services,L.2,"127.4.                  The Supplier shall be required to clean and maintain the changing rooms, showers and gymnasium areas. The details of the sports facilities are included in Call-Off Schedule 22 - Call-Off Tender. "
,Work Package L - Miscellaneous FM Services,L.2,127.5.                  The Supplier shall provide qualified fitness instructors and physical trainers and Deliver exercise classes for Buyer Staff where required. Further details will be provided at Call-Off stage.
,Work Package L - Miscellaneous FM Services,L.2,"127.6.                  Where there are training grounds and sports pitches within the Buyer Premises, the Supplier shall be responsible for the grounds maintenance and repairs to include: "
,Work Package L - Miscellaneous FM Services,L.2,127.6.1. Marking-out the sports pitches;
,Work Package L - Miscellaneous FM Services,L.2,127.6.2. Grass cutting and weed removal;
,Work Package L - Miscellaneous FM Services,L.2,127.6.3. Replacing divots;
,Work Package L - Miscellaneous FM Services,L.2,"127.6.4. Drainage works, such as spiking and rolling; "
,Work Package L - Miscellaneous FM Services,L.2,127.6.5. Drainage; 
,Work Package L - Miscellaneous FM Services,L.2,"127.6.6. Emptying all waste receptacles, to include dog litter bins in accordance with hazardous waste regulations; and "
,Work Package L - Miscellaneous FM Services,L.2,"127.6.7. Removal of litter, leaves and debris.  "
,Work Package L - Miscellaneous FM Services,L.2,"127.7.                  The Buyer will outline the maintenance Standards to be adopted with regard to any sports fields, all weather surfaces and/or multi-use games areas at Call-Off stage."
,Work Package L - Miscellaneous FM Services,L.2,"127.8.                  Where there are swimming pools within the Buyer Premises, a professional lifeguard Service is required during pool opening times. The lifeguard shall have a recognised lifesaving qualification as defined in the FM Service Standards. The times of opening shall be coincident with the operational Working Hours unless otherwise agreed with the Buyer Authorised Representative."
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,128.            Service L:3 - Driver and Vehicle Service
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.3,"128.2.                  In addition, the following Standards Ref apply to this Service SL3."
,Work Package L - Miscellaneous FM Services,L.3,"128.3.                  Where required, the Supplier shall provide a vehicle and driver service, including the provision of:"
,Work Package L - Miscellaneous FM Services,L.3,128.3.1. Vehicle maintenance Services;
,Work Package L - Miscellaneous FM Services,L.3,128.3.2. Vehicle inspections;
,Work Package L - Miscellaneous FM Services,L.3,128.3.3. Cleaning and valet Services;
,Work Package L - Miscellaneous FM Services,L.3,128.3.4. Breakdown cover;
,Work Package L - Miscellaneous FM Services,L.3,128.3.5. Issuing tax licenses; 
,Work Package L - Miscellaneous FM Services,L.3,128.3.6. Fuel provision; 
,Work Package L - Miscellaneous FM Services,L.3,128.3.7. Booking of hire cars; and 
,Work Package L - Miscellaneous FM Services,L.3,128.3.8. Dedicated driver service.
,Work Package L - Miscellaneous FM Services,L.3,128.4.                  Further information will be provided at the Call-Off stage.
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,129.            Service L:4 - First aid and medical service
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.4,"129.2.                  In addition, the following Standards Ref apply to this Service SL4."
,Work Package L - Miscellaneous FM Services,L.4,"129.3.                  Where required to do so, the Supplier shall provide during operational Working Hours first aid and medical services in line with Health and Safety Executive guidance to visitors or staff who are injured whilst on the Buyer Premises."
,Work Package L - Miscellaneous FM Services,L.4,129.4.                  All Supplier staff delivering this service shall have successfully completed and be in possession of a first-aid responder qualification. 
,Work Package L - Miscellaneous FM Services,L.4,129.5.                  The Supplier shall maintain and replenish first aid boxes within date. Method of reimbursement to be agreed at Call-Off stage.
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,130.            Service L:5 - Flag flying service
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.5,"130.2.                  In addition, the following Standards Ref apply to this Service SL5."
,Work Package L - Miscellaneous FM Services,L.5,"130.3.                  The Supplier shall provide a flag flying service. The times and types of flag to be flown are to be in accordance with official guidance obtained from the relevant Buyer and the published instructions of the Department for Culture, Media and Sport (""DCMS"")."
,Work Package L - Miscellaneous FM Services,L.5,130.4.                  A cleaning regime shall be identified for flags and agreed in advance with the Buyer.
,Work Package L - Miscellaneous FM Services,L.5,"130.5.                  The Supplier shall ensure that all Supplier Staff involved in flag raising and lowering are trained in the use of national flags and abide by the required Standards as defined within the FM Service Standards. Certain Government buildings utilise non-standard flags from time to time, including Falklands, Olympics, and Royal Standards. When requested by the Buyer, the Supplier shall have the means to purchase, rent or have manufactured any identified flag within the shortest reasonable time."
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,"131.            Service L:6 - Journal, magazine and newspaper supply"
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.6,"131.2.                  In addition, the following Standards Ref apply to this Service SL6."
,Work Package L - Miscellaneous FM Services,L.6,"131.3.                  The Supplier shall manage the provision of journals, magazines and newspapers. The Supplier shall Order and distribute the items following procedures agreed with the Buyer."
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,132.            Service L:7 - Hairdressing Services
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.7,132.2.                  The Supplier shall manage and provide hairdressing Service at the Buyer Premises and be responsible for the provision of all hairdressing equipment and materials and for decoration of the salon to meet user needs. Details of the requirement shall be defined at Call-Off stage.
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,133.            Service L::8 - Footwear cobbling Services
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.8,133.2.                  The Supplier shall be responsible for the provision of chaplaincy support service at the Buyer Premises. 
,Work Package L - Miscellaneous FM Services,L.8,133.3.                  Details of the Services will be provided at Call-Off.
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,134.            Service L:9 – Provision of chaplaincy support Services
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.9,134.2.                  The Supplier shall be responsible for the provision of chaplaincy support service at the Buyer Premises. 
,Work Package L - Miscellaneous FM Services,L.9,134.3.                  Details of the Services will be provided at Call-Off.
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,,135.            Service L:10 - Housing and residential accommodation management
,Work Package L - Miscellaneous FM Services,,
,Work Package L - Miscellaneous FM Services,L.10,135.2.                  The Suppler shall provide a professionally managed housing and estates management service across all Buyer Premises assigned for residential occupancy and potential occupancy by Buyer Staff. 
,Work Package L - Miscellaneous FM Services,L.10,"135.3.                  For the avoidance of doubt, these service shall include garages, communal areas (such as stairs, bin areas and foyers), grounds, roads, pathways and Infrastructure, office accommodation linked to the provision of the Services and recreational facilities. "
,Work Package L - Miscellaneous FM Services,L.10,135.4.                  These activities shall include the provision of: 
,Work Package L - Miscellaneous FM Services,L.10,135.4.1. Helpdesk Services;
,Work Package L - Miscellaneous FM Services,L.10,"135.4.2. CAFM Services, to electronically manage the application and housing allocation process and interface with Employer IT systems as appropriate;"
,Work Package L - Miscellaneous FM Services,L.10,135.4.3. Move-in processes; 
,Work Package L - Miscellaneous FM Services,L.10,"135.4.4. In-occupation activities and processes, to include cleaning, planned maintenance, reactive maintenance, PAT testing, water treatment, grounds maintenance, utilities and energy management and payment of utility bills;"
,Work Package L - Miscellaneous FM Services,L.10,135.4.5. Liaison and interfacing with Buyer stakeholders on estate and property management activities (including accommodation providers);
,Work Package L - Miscellaneous FM Services,L.10,135.4.6. Provision of emergency accommodation;
,Work Package L - Miscellaneous FM Services,L.10,135.4.7. End of occupation activities;
